Question,Answer,Explanation,Diagram,Mnemonic,Formula,Reference,Related,AI Notes
"What is the Never Exceed Speed (VNE) for the Cessna 172R, expressed in both indicated and calibrated airspeeds?",The Never Exceed Speed (VNE) is 163 KIAS or 160 KCAS.,"VNE is the maximum speed permitted for the aircraft. It is identified by the red line on the airspeed indicator and must not be exceeded. This is a critical operating limitation that the pilot must observe whenever managing airspeed, particularly during high-speed flight.",(Add airspeed indicator diagram here.),None,N/A,"POH Section 2 – Airspeed Limitations, Page 2-4","c172r-ch2-vno
c172r-ch2-airspeed-markings","• Common student mistake: Confusing 163 KIAS with 160 KCAS.
• Practical flying relevance: Monitor airspeed to remain below VNE.
• Possible oral viva question: What is the VNE of the Cessna 172R?
• DGCA exam tip: Memorise both 163 KIAS and 160 KCAS.

---"
"What is the Maximum Structural Cruising Speed (VNO) for the Cessna 172R, and under what atmospheric conditions may it be exceeded?",The Maximum Structural Cruising Speed (VNO) is 129 KIAS or 126 KCAS. It may be exceeded only in smooth air and with extreme caution.,VNO marks the upper boundary of the normal operating range and the beginning of the caution range on the airspeed indicator. The pilot must observe the published atmospheric condition when operating above VNO.,(Add airspeed indicator diagram showing VNO here.),None,N/A,"POH Section 2 – Airspeed Limitations, Page 2-4","c172r-ch2-vne
c172r-ch2-airspeed-markings","• Common student mistake: Confusing VNO with VNE or forgetting the smooth-air restriction.
• Practical flying relevance: Observe the VNO limitation when operating at higher airspeeds.
• Possible oral viva question: What is VNO and when may it be exceeded?
• DGCA exam tip: Memorise 129 KIAS / 126 KCAS and the requirement for smooth air with extreme caution.

---"
What are the published maneuvering speeds (VA) for the Cessna 172R at the specified aircraft weights?,"The published VA values are 99 KIAS at 2450 lb, 92 KIAS at 2000 lb, and 82 KIAS at 1600 lb.",Maneuvering speed varies with aircraft weight. The Cessna 172R POH provides specific values for the stated aircraft weights rather than one single value for every loading condition.,(Add maneuvering speed / aircraft weight reference diagram here.),None,N/A,"POH Section 2 – Airspeed Limitations, Page 2-4",c172r-ch2-load-factors,"• Common student mistake: Treating 99 KIAS as the maneuvering speed at every aircraft weight.
• Practical flying relevance: Use the appropriate published value for the aircraft weight.
• Possible oral viva question: What is VA at 2450 lb, 2000 lb, and 1600 lb?
• DGCA exam tip: Memorise the three published weight/speed pairs.

---"
What are the maximum flap extended speeds (VFE) for the Cessna 172R based on flap deflection?,The maximum speed is 110 KIAS for 10° of flaps and 85 KIAS for flap settings from 10° to 30°.,"The Cessna 172R has different maximum permissible speeds depending on the amount of flap extension. The 10° setting has a limit of 110 KIAS, while flap settings from 10° through 30° have a limit of 85 KIAS.",(Add flap limitation diagram here.),None,N/A,"POH Section 2 – Airspeed Limitations, Page 2-4",c172r-ch2-airspeed-markings,"• Common student mistake: Applying the 110 KIAS limit to flap settings above 10°.
• Practical flying relevance: Check airspeed before selecting additional flap.
• Possible oral viva question: What is the maximum speed for 10° flaps? What is the maximum speed for 20° or 30° flaps?
• DGCA exam tip: Remember 10° = 110 KIAS and 10°–30° = 85 KIAS.

---"
What is the maximum speed at which the cabin windows may be opened in flight?,The maximum window-open speed is 163 KIAS or 160 KCAS.,The POH specifies a maximum speed associated with opening the cabin windows in flight. The pilot should observe this limitation whenever the windows are opened during flight.,(Add cabin window / airspeed limitation diagram here.),None,N/A,"POH Section 2 – Airspeed Limitations, Page 2-4",c172r-ch2-vne,"• Common student mistake: Forgetting the window-open speed limitation.
• Practical flying relevance: Observe the published speed before opening the cabin windows.
• Possible oral viva question: What is the maximum window-open speed?
• DGCA exam tip: Memorise 163 KIAS / 160 KCAS.

---"
"What are the KIAS boundaries of the white arc on the Cessna 172R airspeed indicator, and what do they represent?",The white arc ranges from 33 KIAS to 85 KIAS. The lower limit represents VS0 and the upper limit represents the maximum speed permissible with flaps extended.,The white arc identifies the airspeed range associated with operation with wing flaps extended. Its lower boundary is 33 KIAS and its upper boundary is 85 KIAS.,(Add Cessna 172R airspeed indicator diagram showing the white arc here.),None,N/A,"POH Section 2 – Airspeed Indicator Markings, Page 2-5",c172r-ch2-vfe,"• Common student mistake: Confusing the white arc with another airspeed indicator range.
• Practical flying relevance: Use the white arc as a visual reference during flap-related operations.
• Possible oral viva question: What are the lower and upper limits of the white arc?
• DGCA exam tip: Memorise 33 KIAS and 85 KIAS and what each boundary represents.

---"
What is the maximum allowable engine speed and the full-throttle static RPM range for the Cessna 172R?,"The maximum allowable engine speed is 2400 RPM, and the full-throttle static RPM range is 2065 to 2165 RPM.",The POH specifies both the maximum engine speed and the full-throttle static RPM range. These are important powerplant limitations used when monitoring engine operation and checking engine performance.,(Add tachometer / static RPM reference diagram here.),None,N/A,"POH Section 2 – Powerplant Limitations, Page 2-5",None,"• Common student mistake: Confusing the 2400 RPM maximum engine speed with the 2065–2165 RPM static range.
• Practical flying relevance: Static RPM is checked during the engine run-up.
• Possible oral viva question: What is the maximum engine RPM? What is the static RPM range?
• DGCA exam tip: Memorise 2400 RPM and 2065–2165 RPM separately.

---"
What position must the fuel selector valve handle be in during takeoff and landing?,The fuel selector valve handle must be in the BOTH position during takeoff and landing.,The POH specifies the BOTH position for takeoff and landing. This is an important fuel-system operating limitation and should be checked during the appropriate cockpit configuration checks.,(Add fuel selector diagram showing BOTH position here.),None,N/A,"POH Section 2 – Additional Fuel Limitations, Page 2-11","c172r-ch2-single-tank
c172r-ch2-one-tank-dry","• Common student mistake: Leaving the selector on LEFT or RIGHT during takeoff or landing.
• Practical flying relevance: Verify the selector position during pre-takeoff and pre-landing checks.
• Possible oral viva question: What fuel selector position is required for takeoff and landing?
• DGCA exam tip: BOTH is the key memory item.

---"
Under what flight condition is operation on a single fuel tank (LEFT or RIGHT) permitted?,"Operation on either the LEFT or RIGHT fuel tank is restricted to level flight only. With 1/4 tank or less, prolonged uncoordinated flight such as slips or skids is prohibited while operating on a single tank.","The POH places restrictions on operation using only one fuel tank. The LEFT or RIGHT selector position is limited to level flight, and additional restrictions apply when the selected tank contains 1/4 tank or less.",(Add fuel selector and fuel-level limitation diagram here.),None,N/A,"POH Section 2 – Additional Fuel Limitations, Page 2-11","c172r-ch2-fuel-selector-both
c172r-ch2-one-tank-dry","• Common student mistake: Selecting a single tank during non-level flight or ignoring the 1/4-tank restriction.
• Practical flying relevance: Apply the limitation whenever operating on LEFT or RIGHT.
• Possible oral viva question: When may LEFT or RIGHT be selected? What restriction applies at 1/4 tank or less?
• DGCA exam tip: Remember single tank = level flight only.

---"
What is the maximum allowable duration of a slip or skid when operating with one fuel tank dry?,The maximum allowable duration is 30 seconds.,The POH specifies a 30-second limitation for slip or skid operation when one fuel tank is dry. This is a specific fuel-system operating limitation that the pilot should be able to recall accurately.,(Add fuel system / slip-skid limitation diagram here.),None,N/A,"POH Section 2 – Additional Fuel Limitations, Page 2-11",c172r-ch2-single-tank,"• Common student mistake: Forgetting the 30-second limit.
• Practical flying relevance: Important when operating under the stated one-tank-dry condition.
• Possible oral viva question: What is the maximum allowable duration?
• DGCA exam tip: Memorise 30 seconds.

---"
What are the Normal Category flight load factor limits for the Cessna 172R with flaps up and flaps down?,"With flaps up, the limits are +3.8g and -1.52g. With flaps down, the positive limit is +3.0g.","Flight load factor limits define the structural loading boundaries specified for the aircraft. The POH provides different limits depending on flap configuration, and the pilot must remain within these published limits.",(Add flight load factor diagram here.),None,N/A,"POH Section 2 – Flight Load Factor Limits, Page 2-10","c172r-ch2-va
c172r-ch2-maneuver-limits","• Common student mistake: Mixing Normal Category limits with other category limits.
• Practical flying relevance: Remain within the published structural load limits during flight.
• Possible oral viva question: What are the Normal Category load factor limits?
• DGCA exam tip: State the flap configuration when giving the answer.

---"
What are the individual and combined baggage weight limits for Baggage Area 1 and Baggage Area 2?,"Baggage Area 1 is limited to 120 lb, Baggage Area 2 to 50 lb, and the maximum combined weight of both areas is 120 lb.",The baggage-area limitations define the maximum permissible loading for the two baggage areas. The individual limits must be considered together with the combined 120 lb limit.,(Add baggage area loading diagram here.),None,N/A,"POH Section 2 – Weight Limits, Page 2-7; Placards, Page 2-12",c172r-ch2-reference-datum,"• Common student mistake: Adding 120 lb and 50 lb and assuming 170 lb is permitted.
• Practical flying relevance: Apply both individual and combined baggage restrictions during loading.
• Possible oral viva question: What are the limits for Baggage Area 1, Baggage Area 2, and the combined areas?
• DGCA exam tip: The combined 120 lb limit is especially important.

---"
"What is the maximum permissible angle of bank for turns in the Normal Category, and which acrobatic operations are prohibited?","Turns in the Normal Category are limited to an angle of bank of not more than 60°, and acrobatic maneuvers including spins are prohibited.",The POH defines the approved maneuvering envelope for the Normal Category. The pilot must remain within the published maneuvering limitations and must not conduct prohibited acrobatic operations.,(Add maneuver limitation diagram showing 60° bank limit here.),None,N/A,"POH Section 2 – Maneuver Limits, Page 2-8",c172r-ch2-load-factors,"• Common student mistake: Assuming the aircraft may be banked beyond 60° in Normal Category operation or confusing Normal and Utility Category maneuver privileges.
• Practical flying relevance: Applies during maneuvering and steep turns.
• Possible oral viva question: What is the maximum bank angle in Normal Category? Are spins permitted?
• DGCA exam tip: Memorise not more than 60° and that acrobatic maneuvers including spins are prohibited.

---"
Where is the Reference Datum located on the Cessna 172R for weight and balance measurements?,The Reference Datum is located at the lower portion of the front face of the firewall.,The Reference Datum is the reference plane used for measuring horizontal station distances for weight and balance calculations. The datum location is therefore important when determining arms and moments.,(Add weight and balance datum diagram here.),None,N/A,"Datum located on the Cessna 172R for weight and balance measurements?

Answer
The Reference Datum is located at the lower portion of the front face of the firewall.

Explanation
The Reference Datum is the reference plane used for measuring horizontal station distances for weight and balance calculations. The datum location is therefore important when determining arms and moments.

Diagram
(Add weight and balance datum diagram here.)

Mnemonic
None

Formula
N/A

Reference
POH Section 2 – Center of Gravity Limits, Page 2-7",c172r-ch2-baggage-limits,"• Common student mistake: Assuming the datum is located at the propeller spinner, nose, or another reference point.
• Practical flying relevance: Used in weight and balance calculations.
• Possible oral viva question: Where is the Reference Datum located?
• DGCA exam tip: Memorise the exact location: lower portion of the front face of the firewall."
