No,Kanji,Question,OptionA,OptionB,OptionC,OptionD,CorrectAnswer,CorrectLetter
1,月,What is the reading and meaning of this kanji?,しがつ — April,つき — moon / month,はちがつ — August,にがつ — February,つき — moon / month,B
2,月ようび,What is the reading and meaning of this kanji?,いっかげつ — one month,つき — moon / month,にがつ — February,げつようび — Monday,げつようび — Monday,D
3,四月,What is the reading and meaning of this kanji?,しちがつ — July,しがつ — April,はちがつ — August,にがつ — February,しがつ — April,B
4,月を見る,What is the reading and meaning of this kanji?,つきをみる — to look at the moon,つき — moon / month,にがつ — February,えいがをみます — I watch a movie,つきをみる — to look at the moon,A
5,火,What is the reading and meaning of this kanji?,かようび — Tuesday,ひはあぶない — fire is dangerous,かざん — volcano,ひ — fire,ひ — fire,D
6,火ようび,What is the reading and meaning of this kanji?,ひはあぶない — fire is dangerous,かようび — Tuesday,かざん — volcano,ひ — fire,かようび — Tuesday,B
7,火山,What is the reading and meaning of this kanji?,かざん — volcano,ひ — fire,ふじさん — Mt. Fuji,やま — mountain,かざん — volcano,A
8,火はあぶない,What is the reading and meaning of this kanji?,ひ — fire,かようび — Tuesday,かざん — volcano,ひはあぶない — fire is dangerous,ひはあぶない — fire is dangerous,D
9,水,What is the reading and meaning of this kanji?,プールのみず — pool water,みず — water,みぎ — right,すいようび — Wednesday,みず — water,B
10,水ようび,What is the reading and meaning of this kanji?,かようび — Tuesday,プールのみず — pool water,みず — water,すいようび — Wednesday,すいようび — Wednesday,D
11,プールの水,What is the reading and meaning of this kanji?,すいようび — Wednesday,テーブルのした — under the table,みず — water,プールのみず — pool water,プールのみず — pool water,D
12,木,What is the reading and meaning of this kanji?,き — tree,"たかぎ — tall tree / surname ""Takagi""",ぼくとう — wooden sword,きぎ — trees (plural),き — tree,A
13,木ようび,What is the reading and meaning of this kanji?,"たかぎ — tall tree / surname ""Takagi""",ぼくとう — wooden sword,き — tree,もくようび — Thursday,もくようび — Thursday,D
14,木刀,What is the reading and meaning of this kanji?,きぎ — trees (plural),もくようび — Thursday,ぼくとう — wooden sword,き — tree,ぼくとう — wooden sword,C
15,木々,What is the reading and meaning of this kanji?,"たかぎ — tall tree / surname ""Takagi""",きぎ — trees (plural),き — tree,ぼくとう — wooden sword,きぎ — trees (plural),B
16,高木,What is the reading and meaning of this kanji?,"たかぎ — tall tree / surname ""Takagi""",きぎ — trees (plural),こう / たか — high / tall,たかいやま — tall mountain,"たかぎ — tall tree / surname ""Takagi""",A
17,金,What is the reading and meaning of this kanji?,おかね — money,きんようび — Friday,きんぎょ — goldfish,きん / かね — gold / money,きん / かね — gold / money,D
18,金ようび,What is the reading and meaning of this kanji?,きんようび — Friday,きん / かね — gold / money,おかね — money,きんぎょ — goldfish,きんようび — Friday,A
19,お金,What is the reading and meaning of this kanji?,きん / かね — gold / money,きんぎょ — goldfish,きんようび — Friday,おかね — money,おかね — money,D
20,土,What is the reading and meaning of this kanji?,つち — soil / earth,ちち — father (own),はち — eight,どようび — Saturday,つち — soil / earth,A
