Question,Answer,Marathi,Example,Mnemonic,AI Notes,Reference
What does 「Nです」mean?,"Polite copula: states ""I am / this is [noun]"" — identifies or describes something with a noun.","मी विद्यार्थी आहे. — I am a student. (Marathi's sentence-final copula ""आहे"" mirrors Japanese's
sentence-final ""です"" — both languages put the ""to be"" verb at the very end.)","Easy: わたしは学生です。 — I am a student. (Why: the plain N+です pattern with no modifiers, the simplest form.)
Medium: わたしは日本語(にほんご)の学生です。 — I am a student of Japanese. (Why: adds a modifying phrase before the noun via の, showing です still just attaches to the final noun.)
Hard: わたしは今年(ことし)から日本語学校(にほんごがっこう)の学生です。 — Since this year, I am a student at a Japanese language school. (Why: embeds a time phrase and a longer noun phrase before です, testing recognition of the pattern under heavier modification.)","です sounds like a soft stamp — ""desu!"" — placed at the very end of a sentence to seal the
identification, like a rubber stamp confirming ""yes, this is [noun].""","Common mistake: beginners try to conjugate です like a regular verb, or drop it after い-adjectives
thinking it's not needed (大きいです is correct — です still appears for politeness even though the
adjective itself carries the negation/tense later, e.g. 大きくないです). Remember です itself carries
no meaning beyond politeness — the identification comes purely from word order (X は Y です).",Topics.md G001
What does 「Nではありません」mean?,"Polite negative copula: states ""I am not / this is not [noun]"".","मी शिक्षक नाही. — I am not a teacher. (Marathi negates with ""नाही"" after the noun, paralleling how
Japanese negates with ""ではありません"" after N — both put the negation marker at the very end.)","Easy: わたしは先生ではありません。 — I am not a teacher. (Why: the basic negative copula attached directly to a noun.)
Medium: これは新(あたら)しい本ではありません。 — This is not a new book. (Why: shows ではありません after a noun modified by an adjective.)
Hard: 田中(たなか)さんは今日(きょう)、学校(がっこう)の先生ではありません。 — Mr. Tanaka is not a school teacher today. (Why: combines a time expression and a modified noun phrase before the negative copula.)","Break it down: では (as for that) + ありません (there isn't/doesn't exist) — literally ""as for that,
it doesn't exist [as that]."" では is です's negative doorway; ありません slams it shut.","Common mistake: writing じゃありません and ではありません as if they're different in meaning — they
aren't; じゃ is just the casual-but-still-polite contraction of では, both equally correct in polite
speech. Also watch word order: the negation attaches to the whole です, not to the noun itself, so
never insert ない directly onto the noun.",Topics.md G002
What does 「〜ことができます」mean?,To be able to do something / can do (expressing ability or potential).,मला जपानी बोलता येते — I can speak Japanese. Japanese dictionary form + ことができます and Marathi verb + ता येते share a beautiful parallel where the action is nominalized before expressing ability.,"Easy: 私は漢字を読むことができます (わたしは かんじを よむ ことができます) — I can read kanji. (Why: The dictionary form 読む is nominalized by ことができます to show reading ability.)
Medium: ここでカードで払うことができます (ここで カードで はらう ことができます) — You can pay by card here. (Why: Expresses situational possibility of payment using the verb 払う.)
Hard: 私は日本語で簡単な手紙を書くことができます (わたしは にほんごで かんたんな てがみを かく ことができます) — I can write a simple letter in Japanese. (Why: Combines multiple modifiers like ""in Japanese"" and ""simple letter"" with the dictionary form verb ""書く"" to express capability.)","こと turns a verb into ""the act of [verb]-ing"" (like English ""-ing"" as a noun), and できます means
""is possible"" — so literally ""the act of doing X is possible."" Picture turning the verb into a
noun-shaped object before handing it to できます.","Common mistake: attaching ことができます to the ます-form instead of the plain dictionary form (❌
食べますことができます, ✅ 食べることができます). Also don't confuse this with the shorter potential-verb
form (食べられます) — N5 typically expects ことができます first; the direct potential form is more N4.",Analysis checklist #55 (jlpt_n5_flashcard_checklist.md)
What does 「い-adjective (affirmative)」mean?,"Expresses a present or future affirmative state or quality using an adjective ending in ""い"" in its polite form.",हा चहा खूप गरम आहे। — This tea is very hot. Both languages share the SOV sentence structure where the adjective precedes the closing polite state marker (です / आहे).,"Easy: 今日は寒いです。(きょうはさむいです) — Today is cold. (Why: The ""い"" adjective 寒い ends in ""いです"" for polite present affirmation.)
Medium: この本はとても面白いです。(このほんはとてもおもしろいです) — This book is very interesting. (Why: The adverb とても modifies the ""い"" adjective to add emphasis.)
Hard: わたしの部屋は狭いですが、きれいです。(わたしのへやはせまいですが、きれいです) — My room is small, but it is clean. (Why: Links an ""い"" adjective clause using が to show contrast before a ""な"" adjective predicate.)","い-adjectives already end in い — no extra copula needed to ""make"" them an adjective, just add です
for politeness (寒い → 寒いです).","Common mistake: adding な after an い-adjective when modifying a noun (❌ 寒いな日) — な is only for
な-adjectives; い-adjectives attach directly to the noun (寒い日).",Analysis checklist #36 (jlpt_n5_flashcard_checklist.md)
What does 「い-adjective negative (~くないです)」mean?,"Expresses a present or future negative state or quality for an ""い"" adjective by dropping ""い"" and adding ""くないです"".",हा रस्ता चांगला नाही। — This road is not good. Both languages show a parallel where the affirmative adjective is modified at its end to express negation before the final verb/copula.,"Easy: 今日は寒くないです。(きょうはさむくないです) — Today is not cold. (Why: The ""い"" of 寒い is dropped and replaced with くないです to conjugate to negative.)
Medium: その辞書はあまり良くないです。(そのじしょはあまりよくないです) — That dictionary is not very good. (Why: The irregular adjective いい changes to よ before adding くないです, modified by the negative-favouring adverb あまり.)
Hard: このアパートの家賃は安くないですが、便利です。(このあぱーとのやちんはやすくないですが、べんりです) — The rent of this apartment is not cheap, but it is convenient. (Why: Shows a negative ""い"" adjective contrasting clause linked to a positive ""な"" adjective.)","Drop the final い, add くない — ""i"" leaves, ""ku-nai"" arrives.","Common mistake: forgetting いい (good) is irregular — its negative is よくない, not いくない. Memorize
いい/よい as the one standout exception among い-adjectives.",Analysis checklist #37 (jlpt_n5_flashcard_checklist.md)
What does 「い-adjective past (~かったです)」mean?,"Expresses a past affirmative state or quality for an ""い"" adjective by dropping ""い"" and adding ""かったです"".",काल खूप थंडी होती। — Yesterday it was very cold. Both systems place the past-inflected descriptive state right at the end of the sentence.,"Easy: 昨日のお祭りは楽しかったです。(きのうのおまつりはたのしかったです) — Yesterday's festival was fun. (Why: The adjective 楽しい drops ""い"" and takes かったです to indicate the past state.)
Medium: 先週のテストはとても難しかったです。(せんしゅうのてすとはとてもむずかしかったです) — Last week's test was very difficult. (Why: Inflects the long N5 adjective 難しい into its polite past affirmative form.)
Hard: 昨日は天気が良かったですから、海へ行きました。(きのうはてんきがよかったですから、うみへいきました) — Yesterday the weather was good, so I went to the sea. (Why: Uses the past form of いい (よかった) followed by から to express a reason.)","Drop い, add かった — ""i"" becomes ""katta"" (sounds like something that already ""got-ta"" happen).","Common mistake: forgetting いい's irregular stem again — the past of いい is よかった, not いかった.
Also don't add でした after かったです; the past tense is already built into かった.",Analysis checklist #38 (jlpt_n5_flashcard_checklist.md)
What does 「な-adjective (affirmative)」mean?,"Expresses a present or future affirmative state or quality using a ""な"" adjective paired with the polite copula ""です"".",हा मुलगा हुशार आहे। — This boy is smart. Adjectives in both systems can pair directly with a copula at the end without internal inflection changes in basic descriptive statements.,"Easy: この公園は静かです。(このこうえんはしずかです) — This park is quiet. (Why: The ""な"" adjective 静か pairs directly with the polite copula です to state a present affirmative condition.)
Medium: あの留学生は日本語がとても上手です。(あのりゅうがくせいはにほんごがとてもじょうずです) — That exchange student is very good at Japanese. (Why: The ""な"" adjective 上手 is used with the particle が to state a point of proficiency.)
Hard: この町はにぎやかですから、買い物が便利です。(このまちはにぎやかですから、かいものがべんりです) — This town is lively, so shopping is convenient. (Why: Connects two affirmative ""な"" adjective statements using the causal particle から.)","な-adjectives act just like nouns — no ending change needed, just tack on です as-is (静か + です).","Common mistake: assuming な-adjectives need くない/かった like い-adjectives — they don't. Treat them
exactly like nouns for every conjugation (です / ではありません / でした).",Analysis checklist #39 (jlpt_n5_flashcard_checklist.md)
What does 「な-adjective negative (~れません)」mean?,"Expresses a present or future negative state or quality for a ""な"" adjective using ""では（じゃ）ありません"".",हा परिसर शांत नाही। — This area is not quiet. Both structures end the clause with a negative copula/marker (ではありません / नाही) following the noun-like adjective.,"Easy: 今日は暇ではありません。(きょうはひまではありません) — I am not free today. (Why: The ""な"" adjective 暇 is negated politely using ありません.)
Medium: 私はあの人があまり好きじゃありません。(わたしはあのひとがあまりすきじゃありません) — I do not like that person very much. (Why: Uses the conversational negative じゃありません with the descriptive ""な"" adjective 好き.)
Hard: あの食堂はきれいではありませんが、料理が美味しいです。(あのしょくどうはきれいではありませんが、りょうりがおいしいです) — That cafeteria is not clean, but the food is delicious. (Why: Pairs a negative ""な"" adjective contrasting clause with a positive ""い"" adjective statement.)","Same negation as nouns: な-adjective + ではありません (or じゃありません) — no special adjective-only
rule to learn.","Common mistake: applying くない to a な-adjective (❌ 静かくない) — that's the い-adjective rule.
な-adjectives always negate like nouns instead.",Analysis checklist #40 (jlpt_n5_flashcard_checklist.md)
What does 「な-adjective past (~でした)」mean?,"Expresses a past affirmative state or quality for a ""な"" adjective using the past polite copula ""でした"".",तो माणूस प्रसिद्ध होता। — That man was famous. The past copula was (でした / होता) sits at the very end of the sentence in both SOV systems.,"Easy: 昨日は暇でした。(きのうはひまでした) — I was free yesterday. (Why: The ""な"" adjective 暇 is placed in the polite past tense using でした.)
Medium: 子どものとき、勉強が嫌いでした。(こどものとき、べんきょうがきらいでした) — When I was a child, I hated studying. (Why: Combines a time clause with the past state of a ""な"" adjective.)
Hard: 昨日のテストは簡単でしたから、時間が余りました。(きのうのてすとはかんたんでしたから、じかんがあまりました) — Yesterday's test was easy, so I had time left over. (Why: Explains a past outcome using a past ""な"" adjective cause linked by から.)","な-adjective + でした — again, identical to how a plain noun takes its past tense.","Common mistake: writing 静かでしたです (a doubled copula) — でした alone is already the complete
past-polite form, no extra です needed after it.",Analysis checklist #41 (jlpt_n5_flashcard_checklist.md)
What does 「Adjective + の (nominalization)」mean?,"Turns an adjective into a noun pronoun meaning ""the [adjective] one"" to avoid repeating the noun itself.","मला लाल वाला चेंडू दे, काळा वाला नको। — Give me the red ball, not the black one. The suffix ""-वाला"" (-wala) in the translation performs the exact same nominalizing function as the Japanese ""の"".","Easy: 青いのが欲しいです。(あおいのがほしいです) — I want the blue one. (Why: Nominalizes the ""い"" adjective 青い to represent an object, avoiding repetition.)
Medium: 賑やかなのより静かなのが好きです。(にぎやかなのよりしずかなのがすきです) — I prefer a quiet one to a lively one. (Why: Nominalizes two ""な"" adjectives by appending なの, making a comparison.)
Hard: 新しいペンがありますか。古いのはもう書けません。(あたらしいぺんがありますか。ふるいのはもうかけません) — Do you have a new pen? The old one can no longer write. (Why: Uses の to replace the noun ""pen"" in the second sentence to maintain natural flow.)","の here stands in for ""one"" — the missing noun swapped out for a placeholder, like English ""the red
one.""","Common mistake: forgetting な-adjectives keep their な before の (静かな + の = 静かなの), while
い-adjectives attach の directly with no extra particle (青い + の = 青いの).",Analysis checklist #42 (jlpt_n5_flashcard_checklist.md)
