No,Kanji,Hiragana,Meaning,Easy,Medium,Hard
1,月,つき,moon / month,月です。(It's the moon.),月がきれいです。(The moon is pretty.),"今夜は月がきれいですから、外を見ます。(Tonight the moon is pretty, so I'll look outside.)"
2,月ようび,げつようび,Monday,月曜日です。(It's Monday.),月曜日に学校へ行きます。(I go to school on Monday.),"月曜日は忙しいですから、早く起きます。(Monday is busy, so I get up early.)"
3,四月,しがつ,April,四月です。(It's April.),四月は春です。(April is spring.),"四月になりますから、新しい学校が始まります。(April comes, so the new school starts.)"
4,月を見る,つきをみる,to look at the moon,月を見ます。(I look at the moon.),夜、月を見ます。(I look at the moon at night.),友達と一緒に、公園で月を見ます。(I look at the moon in the park together with a friend.)
5,火,ひ,fire,火です。(It's fire.),火は熱いです。(Fire is hot.),"火は熱いですから、気をつけてください。(Fire is hot, so please be careful.)"
6,火ようび,かようび,Tuesday,火曜日です。(It's Tuesday.),火曜日にテストがあります。(There's a test on Tuesday.),"火曜日はテストがありますから、今晩勉強します。(There's a test on Tuesday, so I'll study tonight.)"
7,火山,かざん,volcano,火山です。(It's a volcano.),日本に火山があります。(There's a volcano in Japan.),"日本には火山がたくさんありますが、危なくないです。(Japan has many volcanoes, but they aren't dangerous.)"
8,火はあぶない,ひはあぶない,fire is dangerous,火は危ないです。(Fire is dangerous.),火は子供に危ないです。(Fire is dangerous for children.),"火は危ないですから、子供は使ってはいけません。(Fire is dangerous, so children must not use it.)"
9,水,みず,water,水です。(It's water.),水を飲みます。(I drink water.),"のどが渇きましたから、水を飲みます。(I got thirsty, so I drink water.)"
10,水ようび,すいようび,Wednesday,水曜日です。(It's Wednesday.),水曜日は休みです。(Wednesday is a day off.),"水曜日は休みですから、友達に会います。(Wednesday is a day off, so I'll meet my friend.)"
11,プールの水,プールのみず,pool water,水です。(It's water.),プールの水は冷たいです。(The pool water is cold.),"プールの水は冷たいですが、気持ちいいです。(The pool water is cold, but it feels good.)"
12,木,き,tree,木です。(It's a tree.),木が大きいです。(The tree is big.),"公園に木がありますから、涼しいです。(There's a tree in the park, so it's cool.)"
13,木ようび,もくようび,Thursday,木曜日です。(It's Thursday.),木曜日に買い物します。(I go shopping on Thursday.),"木曜日は暇ですから、買い物に行きます。(Thursday is free, so I'll go shopping.)"
14,木刀,ぼくとう,wooden sword,木刀です。(It's a wooden sword.),木刀は木です。(A bokuto is made of wood.),"剣道で木刀を使いますが、危なくないです。(We use a wooden sword in kendo, but it's not dangerous.)"
15,木々 [?],きぎ,trees (plural),木々です。(These are trees.),木々が多いです。(There are many trees.),"秋ですから、木々の葉が赤いです。(It's autumn, so the trees' leaves are red.)"
16,高木,たかぎ,"tall tree / surname ""Takagi""",高木さんです。(This is Mr. Takagi.),高木さんは先生です。(Mr. Takagi is a teacher.),"高木さんは先生ですから、学校で会います。(Mr. Takagi is a teacher, so I see him at school.)"
17,金,きん / かね,gold / money,金です。(It's gold.),金は高いです。(Gold is expensive.),"金は高いですから、あまり買いません。(Gold is expensive, so I don't buy it much.)"
18,金ようび,きんようび,Friday,金曜日です。(It's Friday.),金曜日は楽しみです。(I look forward to Friday.),"金曜日ですから、今晩友達と食事します。(It's Friday, so I'll eat with a friend tonight.)"
19,お金,おかね,money,お金です。(It's money.),お金がありません。(I have no money.),"お金がありませんから、買い物しません。(I have no money, so I won't go shopping.)"
20,土,つち,soil / earth,土です。(It's soil.),土は茶色です。(Soil is brown.),"花に土をあげますから、元気になります。(I give soil to the flower, so it becomes healthy.)"
21,土ようび,どようび,Saturday,土曜日です。(It's Saturday.),土曜日は休みです。(Saturday is a day off.),"土曜日は休みですから、早く起きません。(Saturday is a day off, so I don't wake up early.)"
